17:40:37.342 [main] INFO  utils.Log - Called method<click> on  
17:40:41.493 [main] INFO  utils.Log - called method <sendKeys> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
17:40:41.493 [main] INFO  utils.Log - Called method <waitForElementToBeVisible> on locator :
17:40:42.268 [main] INFO  utils.Log - called method <sendKeys> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
17:40:42.268 [main] INFO  utils.Log - Called method <waitForElementToBeVisible> on locator :
17:40:42.733 [main] INFO  utils.Log - Called method<click> on  
17:40:45.759 [main] INFO  utils.Log - Called method<click> on  
17:41:04.925 [main] INFO  utils.Log - Called method<click> on  
17:41:08.172 [main] INFO  utils.Log - called method <sendKeys> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
17:41:08.172 [main] INFO  utils.Log - Called method <waitForElementToBeVisible> on locator :
17:41:08.982 [main] INFO  utils.Log - called method <sendKeys> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
17:41:08.982 [main] INFO  utils.Log - Called method <waitForElementToBeVisible> on locator :
17:41:09.421 [main] INFO  utils.Log - Called method<click> on  
